Date,Open,High,Low,Close,Adj Close,Volume
2013-11-25,84.400002,84.940002,83.870003,84.400002,70.864037,8111400
2013-11-26,84.800003,84.830002,84.010002,84.360001,70.830475,3834900
2013-11-27,84.430000,84.930000,84.330002,84.669998,71.090744,3053600
2013-11-29,84.639999,85.180000,84.529999,84.599998,71.031982,2284400
2013-12-02,84.699997,85.089996,84.029999,84.250000,70.738098,4834700
2013-12-03,83.800003,83.949997,83.269997,83.870003,70.419060,3924300
2013-12-04,83.750000,84.379997,83.110001,83.970001,70.503014,5246700
2013-12-05,83.919998,84.580002,83.699997,84.410004,70.872459,5291900
2013-12-06,85.059998,85.580002,84.930000,85.500000,71.787628,5759300
2013-12-09,85.699997,86.529999,85.559998,86.089996,72.282997,6023400
2013-12-10,85.970001,86.870003,85.919998,86.419998,72.560097,4987000
2013-12-11,86.029999,86.220001,85.120003,85.279999,71.602913,5624100
2013-12-12,85.370003,85.699997,84.839996,85.570000,71.846390,4551700
2013-12-13,85.669998,86.230003,85.570000,86.050003,72.249428,4226200
2013-12-16,86.500000,87.849998,86.440002,87.379997,73.366112,6976200
2013-12-17,87.220001,87.650002,86.379997,86.919998,72.979904,4764400
2013-12-18,87.010002,88.459999,86.650002,88.169998,74.029434,6963200
2013-12-19,87.500000,87.839996,87.260002,87.540001,73.500473,4299700
2013-12-20,87.849998,89.110001,87.809998,88.930000,74.667526,7389700
2013-12-23,89.309998,90.070000,89.269997,89.959999,75.532349,5733300
2013-12-24,90.000000,90.980003,89.989998,90.910004,76.329994,2675700
2013-12-26,90.989998,91.669998,90.699997,91.150002,76.531479,4790800
2013-12-27,91.139999,91.430000,90.559998,90.870003,76.296410,3373800
2013-12-30,90.849998,91.029999,90.279999,90.870003,76.296410,2625000
2013-12-31,91.000000,91.180000,90.459999,90.809998,76.246017,3098900
2014-01-02,90.410004,90.449997,89.330002,89.870003,75.456772,4898000
2014-01-03,90.000000,90.250000,89.589996,89.820000,75.414803,3722000
2014-01-06,90.190002,90.300003,88.379997,88.639999,74.424049,5233900
2014-01-07,88.769997,89.230003,88.750000,88.930000,74.667526,3512100
2014-01-08,88.779999,89.820000,88.669998,89.139999,74.843842,4421600
2014-01-09,89.260002,89.800003,88.690002,89.709999,75.322456,4466400
2014-01-10,89.410004,90.599998,89.290001,90.510002,75.994148,5416000
2014-01-13,90.260002,91.260002,89.820000,89.889999,75.473572,5213600
2014-01-14,89.860001,90.709999,89.860001,90.559998,76.036118,3712100
2014-01-15,90.879997,93.199997,90.879997,92.410004,77.589417,10121900
2014-01-16,91.889999,92.860001,91.699997,92.010002,77.758430,4771000
2014-01-17,92.150002,92.260002,91.010002,91.440002,77.783951,6833400
2014-01-21,91.599998,91.849998,89.639999,90.599998,77.069397,5544900
2014-01-22,90.589996,90.820000,89.349998,89.639999,76.252769,4787300
2014-01-23,88.699997,89.080002,88.050003,88.480003,75.266029,5014800
2014-01-24,87.980003,87.989998,85.879997,86.169998,73.301003,8087400
2014-01-27,91.769997,92.309998,89.070000,91.290001,77.656364,22202300
2014-01-28,91.400002,92.669998,91.349998,92.470001,78.660133,9409600
